"","Treatment","Mussels","Site","Plot","sp.biom","crab.dens","mussel.dens"
"1","No Exclusion","Mussel addition","Miller Pump",1,130.733333333333,17.3333333333333,0
"2","No Exclusion","Mussel addition","Miller Pump",3,235.841666666667,33.3333333333333,0
"3","No Exclusion","Mussel addition","Miller Pump",6,22.75,0,0
"4","No Exclusion","Mussel addition","Miller Pump",8,291.2,6.66666666666667,0
"5","No Exclusion","Mussel addition","Miller Pump",4,164.5,6.66666666666667,0
"6","No Exclusion","Mussel addition","Kenan",1,378,28,0
"7","No Exclusion","Mussel addition","Kenan",3,585.875,33.3333333333333,2
"8","No Exclusion","Mussel addition","Kenan",5,610.2,25.3333333333333,0
"9","No Exclusion","Mussel addition","Kenan",6,481.433333333333,5.33333333333333,0
"10","No Exclusion","Mussel addition","Kenan",8,389.425,12,0
"11","No Exclusion","Mussel control","Miller Pump",5,352.45,0,0
"12","No Exclusion","Mussel control","Miller Pump",2,154.1,4,0
"13","No Exclusion","Mussel control","Miller Pump",7,188.416666666667,6.66666666666667,0
"14","No Exclusion","Mussel control","Miller Pump",9,332.408333333333,9.33333333333333,0
"15","No Exclusion","Mussel control","Miller Pump",10,353.1,0,0
"16","No Exclusion","Mussel control","Kenan",2,425,0,0
"17","No Exclusion","Mussel control","Kenan",4,336.15,25.3333333333333,0
"18","No Exclusion","Mussel control","Kenan",7,328.666666666667,5.33333333333333,0
"19","No Exclusion","Mussel control","Kenan",9,490.458333333333,8,0
"20","No Exclusion","Mussel control","Kenan",10,612.333333333333,25.3333333333333,0
"21","Hog Exclusion","Mussel addition","Miller Pump",1,416.433333333333,105.333333333333,21.3333333333333
"22","Hog Exclusion","Mussel addition","Miller Pump",3,312.466666666667,81.3333333333333,2.66666666666667
"23","Hog Exclusion","Mussel addition","Miller Pump",6,706.966666666667,56,14
"24","Hog Exclusion","Mussel addition","Miller Pump",8,512.833333333333,108,17.3333333333333
"25","Hog Exclusion","Mussel addition","Miller Pump",4,531.641666666667,16,30
"26","Hog Exclusion","Mussel addition","Kenan",1,488.05,72,22
"27","Hog Exclusion","Mussel addition","Kenan",3,1110.83333333333,53.3333333333333,24
"28","Hog Exclusion","Mussel addition","Kenan",5,726.25,69.3333333333333,22
"29","Hog Exclusion","Mussel addition","Kenan",6,788.75,57.3333333333333,18.6666666666667
"30","Hog Exclusion","Mussel addition","Kenan",8,682.433333333333,53.3333333333333,15.3333333333333
"31","Hog Exclusion","Mussel control","Miller Pump",5,452.833333333333,4,0
"32","Hog Exclusion","Mussel control","Miller Pump",2,219.916666666667,66.6666666666667,0
"33","Hog Exclusion","Mussel control","Miller Pump",7,501.225,14.6666666666667,0
"34","Hog Exclusion","Mussel control","Miller Pump",9,509.6,13.3333333333333,0
"35","Hog Exclusion","Mussel control","Miller Pump",10,431.458333333333,0,10
"36","Hog Exclusion","Mussel control","Kenan",2,452.083333333333,72,0
"37","Hog Exclusion","Mussel control","Kenan",4,544.816666666667,36,0
"38","Hog Exclusion","Mussel control","Kenan",7,457.491666666667,18.6666666666667,0
"39","Hog Exclusion","Mussel control","Kenan",9,593.516666666667,6.66666666666667,0
"40","Hog Exclusion","Mussel control","Kenan",10,399.316666666667,34.6666666666667,0.666666666666667
