Date,North/South,Site,Area,ID,Cord,No.muss,Length,Width,Height,Location,Hog
30-Jul-18,South,Airport,Creek Head,1,1,31,42,30,6,Mound,low
30-Jul-18,South,Airport,Creek Head,2,1,15,20,15,5,Mound,low
30-Jul-18,South,Airport,Creek Head,3,1,79,92,71,8,Mound,low
30-Jul-18,South,Airport,Creek Head,4,1,19,20,15,4,Mound,low
30-Jul-18,South,Airport,Creek Head,5,1,43,60,48,7,Mound,low
30-Jul-18,South,Airport,Creek Head,6,1,36,35,31,7,Mound,low
30-Jul-18,South,Airport,Creek Head,7,1,46,54,50,9,Mound,low
30-Jul-18,South,Airport,Creek Head,8,1,3,6,5,1,Mound,low
30-Jul-18,South,Airport,Creek Head,9,1,39,42,32,6,Mound,low
30-Jul-18,South,Airport,Creek Head,10,1,42,40,40,6,Mound,low
30-Jul-18,South,Airport,Creek Head,11,1,92,110,70,10,Mound,low
30-Jul-18,South,Airport,Creek Head,12,1,83,90,71,8,Mound,low
30-Jul-18,South,Airport,Creek Head,13,1,43,51,38,6,Mound,low
30-Jul-18,South,Airport,Creek Head,14,1,29,34,31,5,Mound,low
30-Jul-18,South,Airport,Creek Head,15,1,29,24,32,4,Mound,low
30-Jul-18,South,Airport,Creek Head,16,1,67,78,48,6,Mound,low
30-Jul-18,South,Airport,Creek Head,17,1,33,41,30,4,Mound,low
30-Jul-18,South,Airport,Creek Head,18,1,73,62,58,7,Mound,low
30-Jul-18,South,Airport,Creek Head,19,1,29,31,24,4,Mound,low
30-Jul-18,South,Airport,Creek Head,20,1,31,31,31,5,Mound,low
30-Jul-18,South,Airport,Creek Head,21,1,39,46,24,5,Mound,low
30-Jul-18,South,Airport,Creek Head,22,1,73,48,67,7,Mound,low
30-Jul-18,South,Airport,Creek Head,23,1,51,53,37,6,Mound,low
30-Jul-18,South,Airport,Creek Head,24,1,66,71,42,8,Mound,low
30-Jul-18,South,Airport,Creek Head,25,1,64,44,56,8,Mound,low
30-Jul-18,South,Airport,Creek Head,26,1,2,4,2,0,Platform,low
30-Jul-18,South,Airport,Creek Head,27,1,61,50,46,6,Mound,low
30-Jul-18,South,Airport,Creek Head,28,1,40,32,36,6,Mound,low
30-Jul-18,South,Airport,Creek Head,29,1,44,40,28,6,Mound,low
30-Jul-18,South,Airport,Creek Head,30,1,51,62,42,7,Mound,low
30-Jul-18,South,Airport,Creek Head,31,1,94,103,68,9,Mound,low
30-Jul-18,South,Airport,Creek Head,32,1,102,100,74,11,Mound,low
30-Jul-18,South,Airport,Creek Head,33,1,73,58,54,8,Mound,low
30-Jul-18,South,Airport,Creek Head,34,1,37,31,30,6,Mound,low
30-Jul-18,South,Airport,Creek Head,35,1,43,35,29,6,Mound,low
30-Jul-18,South,Airport,Creek Head,36,0,1,3,1,0,Platform,low
30-Jul-18,South,Airport,Creek Head,37,1,44,40,30,4,Mound,low
30-Jul-18,South,Airport,Creek Head,38,1,19,20,14,2,Mound,low
30-Jul-18,South,Airport,Creek Head,39,1,21,18,18,2,Mound,low
30-Jul-18,South,Airport,Creek Head,40,1,31,40,16,3,Mound,low
30-Jul-18,South,Airport,Creek Head,41,1,29,19,34,6,Mound,low
30-Jul-18,South,Airport,Creek Head,42,1,37,42,34,6,Mound,low
30-Jul-18,South,Airport,Creek Head,43,1,46,54,40,8,Mound,low
30-Jul-18,South,Airport,Creek Head,44,1,24,17,17,5,Mound,low
30-Jul-18,South,Airport,Creek Head,45,1,35,19,27,7,Mound,low
30-Jul-18,South,Airport,Creek Head,46,1,37,47,29,6,Mound,low
30-Jul-18,South,Airport,Creek Head,47,1,10,8,7,3,Mound,low
30-Jul-18,South,Airport,Creek Head,48,1,19,10,10,4,Mound,low
30-Jul-18,South,Airport,Creek Head,49,1,26,26,29,6,Mound,low
30-Jul-18,South,Airport,Creek Head,50,1,36,42,37,5,Mound,low
30-Jul-18,South,Airport,Marsh Platform,1,1,3,6,3,1,Mound,low
30-Jul-18,South,Airport,Marsh Platform,2,1,2,4,4,1,Mound,low
30-Jul-18,South,Airport,Marsh Platform,3,1,12,14,10,2,Mound,low
30-Jul-18,South,Airport,Marsh Platform,4,1,1,2,1,0,Platform,low
30-Jul-18,South,Airport,Marsh Platform,5,1,6,7,5,2,Mound,low
30-Jul-18,South,Airport,Marsh Platform,6,1,3,4,3,1,Mound,low
30-Jul-18,South,Airport,Marsh Platform,7,1,19,14,17,2,Mound,low
30-Jul-18,South,Airport,Marsh Platform,8,1,7,8,5,1,Mound,low
30-Jul-18,South,Airport,Marsh Platform,9,1,10,10,6,2,Mound,low
30-Jul-18,South,Airport,Marsh Platform,10,1,1,3,1,0,Platform,low
30-Jul-18,South,Airport,Marsh Platform,11,1,8,10,7,2,Mound,low
30-Jul-18,South,Airport,Marsh Platform,12,1,12,14,10,2,Mound,low
30-Jul-18,South,Airport,Marsh Platform,13,1,3,6,2,1,Mound,low
30-Jul-18,South,Airport,Marsh Platform,14,1,1,3,1,1,Platform,low
30-Jul-18,South,Airport,Marsh Platform,15,1,4,3,5,2,Mound,low
30-Jul-18,South,Airport,Marsh Platform,16,1,11,14,11,2,Mound,low
30-Jul-18,South,Airport,Marsh Platform,17,1,15,17,16,3,Mound,low
30-Jul-18,South,Airport,Marsh Platform,18,1,1,3,1,0,Platform,low
30-Jul-18,South,Airport,Marsh Platform,19,1,2,3,3,1,Platform,low
30-Jul-18,South,Airport,Marsh Platform,20,1,4,4,3,1,Mound,low
30-Jul-18,South,Airport,Marsh Platform,21,1,24,20,20,3,Mound,low
30-Jul-18,South,Airport,Marsh Platform,22,1,19,14,19,3,Mound,low
30-Jul-18,South,Airport,Marsh Platform,23,1,15,10,19,2,Mound,low
30-Jul-18,South,Airport,Marsh Platform,24,1,17,14,16,2,Mound,low
30-Jul-18,South,Airport,Marsh Platform,25,1,28,30,17,3,Mound,low
30-Jul-18,South,Airport,Marsh Platform,26,1,3,6,4,1,Mound,low
30-Jul-18,South,Beach Road,Creek Head,1,1,54,70,55,6,Mound,low
30-Jul-18,South,Beach Road,Creek Head,2,1,30,26,29,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,3,1,41,54,37,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,4,1,36,50,24,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,5,1,6,4,8,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,6,1,19,10,14,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,7,1,24,19,29,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,8,1,37,56,19,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,9,1,21,10,16,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,10,1,22,21,14,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,11,1,3,4,5,1,Mound,low
30-Jul-18,South,Beach Road,Creek Head,12,1,19,20,19,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,13,1,23,30,14,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,14,1,67,92,60,6,Mound,low
30-Jul-18,South,Beach Road,Creek Head,15,1,41,35,38,6,Mound,low
30-Jul-18,South,Beach Road,Creek Head,16,1,30,41,29,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,17,1,22,24,17,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,18,1,62,85,62,7,Mound,low
30-Jul-18,South,Beach Road,Creek Head,19,1,48,38,51,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,20,1,12,14,14,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,21,1,10,14,11,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,22,1,21,19,23,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,23,1,14,10,10,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,24,1,1,3,1,0,Platform,low
30-Jul-18,South,Beach Road,Creek Head,25,1,36,41,40,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,26,1,17,30,15,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,27,1,6,8,4,1,Mound,low
30-Jul-18,South,Beach Road,Creek Head,28,1,19,12,14,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,29,1,21,23,23,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,30,1,17,15,19,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,31,1,74,89,82,8,Mound,low
30-Jul-18,South,Beach Road,Creek Head,32,1,18,12,17,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,33,1,53,64,69,6,Mound,low
30-Jul-18,South,Beach Road,Creek Head,34,1,41,51,60,6,Mound,low
30-Jul-18,South,Beach Road,Creek Head,35,1,15,18,10,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,36,1,37,21,41,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,37,1,11,8,8,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,38,1,10,8,10,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,39,1,56,71,49,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,40,1,66,50,43,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,41,1,15,10,13,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,42,1,59,51,42,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,43,1,6,4,6,1,Mound,low
30-Jul-18,South,Beach Road,Creek Head,44,1,12,14,14,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,45,1,18,16,17,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,46,1,24,21,27,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,47,1,36,23,42,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,48,1,38,44,28,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,49,1,10,7,9,1,Mound,low
30-Jul-18,South,Beach Road,Creek Head,50,1,41,36,36,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,51,1,28,26,21,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,52,1,24,26,27,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,53,1,17,10,14,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,54,1,6,6,5,1,Mound,low
30-Jul-18,South,Beach Road,Creek Head,55,1,15,14,9,1,Mound,low
30-Jul-18,South,Beach Road,Creek Head,56,1,47,53,31,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,57,1,14,10,12,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,58,1,47,61,30,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,59,1,18,15,12,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,60,1,20,20,12,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,61,1,26,24,24,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,62,1,29,23,29,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,63,1,8,7,9,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,64,1,28,17,27,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,65,1,19,14,18,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,66,1,37,51,42,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,67,1,10,20,8,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,68,1,3,6,4,1,Platform,low
30-Jul-18,South,Beach Road,Creek Head,69,1,1,2,1,0,Platform,low
30-Jul-18,South,Beach Road,Creek Head,70,1,29,31,18,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,71,1,77,103,61,7,Mound,low
30-Jul-18,South,Beach Road,Creek Head,72,1,25,20,21,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,73,1,8,7,7,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,74,1,59,51,68,6,Mound,low
30-Jul-18,South,Beach Road,Creek Head,75,1,43,50,32,4,Mound,low
30-Jul-18,South,Beach Road,Creek Head,76,1,36,41,30,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,77,1,30,28,31,5,Mound,low
30-Jul-18,South,Beach Road,Creek Head,78,1,12,8,10,2,Mound,low
30-Jul-18,South,Beach Road,Creek Head,79,1,15,20,23,3,Mound,low
30-Jul-18,South,Beach Road,Creek Head,80,1,56,80,62,7,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,1,1,31,28,33,4,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,2,1,1,2,1,0,Platform,low
30-Jul-18,South,Beach Road,Marsh Platform,3,1,14,15,18,3,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,4,1,3,8,6,2,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,5,1,19,21,23,4,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,6,1,37,40,36,5,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,7,1,12,18,11,2,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,8,1,1,3,1,0,Platform,low
30-Jul-18,South,Beach Road,Marsh Platform,9,1,9,10,14,3,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,10,1,28,24,29,3,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,11,1,24,30,18,3,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,12,1,23,24,20,5,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,13,1,9,10,7,3,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,14,1,3,6,6,1,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,15,1,1,3,1,0,Platform,low
30-Jul-18,South,Beach Road,Marsh Platform,16,1,3,3,1,0,Platform,low
30-Jul-18,South,Beach Road,Marsh Platform,17,1,8,12,6,2,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,18,1,26,31,20,4,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,19,1,7,11,10,3,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,20,1,26,29,18,4,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,21,1,14,15,15,3,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,22,1,16,13,17,5,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,23,1,2,4,3,0,Platform,low
30-Jul-18,South,Beach Road,Marsh Platform,24,1,4,6,5,1,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,25,1,1,3,1,0,Platform,low
30-Jul-18,South,Beach Road,Marsh Platform,26,1,4,5,4,1,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,27,1,2,4,3,0,Platform,low
30-Jul-18,South,Beach Road,Marsh Platform,28,1,6,7,7,2,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,29,1,10,12,9,3,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,30,1,12,14,14,3,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,31,1,1,2,1,0,Platform,low
30-Jul-18,South,Beach Road,Marsh Platform,32,1,5,6,7,1,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,33,1,8,12,8,2,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,34,1,2,4,2,1,Platform,low
30-Jul-18,South,Beach Road,Marsh Platform,35,1,3,5,3,1,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,36,1,24,29,27,4,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,37,1,3,5,3,1,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,38,1,3,8,3,1,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,39,1,6,10,10,2,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,40,1,5,8,5,1,Mound,low
30-Jul-18,South,Beach Road,Marsh Platform,41,1,14,15,13,3,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,1,1,34,40,24,8,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,2,1,32,30,30,8,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,3,1,32,29,34,8,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,4,1,19,20,14,8,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,5,1,24,19,27,8,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,6,1,46,54,50,9,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,7,1,19,14,22,6,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,8,1,34,39,30,8,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,9,1,37,48,29,8,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,10,1,27,31,24,8,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,11,1,6,8,4,6,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,12,1,19,15,15,8,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,13,1,54,60,39,7,Mound,low
30-Jul-18,South,Birdhouse,Creek Head,14,1,94,107,71,12,Mound,low
