Site,Location,Rep,Initial mussel number,muss.liveD1,muss.liveD2,muss.liveD3
Miller Pump,Mud Flat,1,20,6,16,14
Miller Pump,Mud Flat,2,20,16,16,4
Miller Pump,Mud Flat,3,20,17,16,19
Miller Pump,Mud Flat,4,20,6,16,14
Miller Pump,Mud Flat,5,20,16,14,14
Miller Pump,Mud Flat,6,20,14,14,10
Miller Pump,Mud Flat,7,20,17,7,15
Miller Pump,Mud Flat,8,20,20,20,20
Miller Pump,Patch,1,20,10,0,0
Miller Pump,Patch,2,20,12,0,0
Miller Pump,Patch,3,20,15,15,8
Miller Pump,Patch,4,20,8,8,14
Miller Pump,Patch,5,20,6,0,0
Miller Pump,Patch,6,20,0,0,0
Miller Pump,Patch,7,20,20,20,20
Miller Pump,Patch,8,20,8,8,16
Kenan,Mud Flat,1,20,6,16,14
Kenan,Mud Flat,2,20,16,16,4
Kenan,Mud Flat,3,20,17,16,5
Kenan,Mud Flat,4,20,6,16,17
Kenan,Mud Flat,5,20,16,14,10
Kenan,Mud Flat,6,20,14,14,10
Kenan,Mud Flat,7,20,17,7,12
Kenan,Mud Flat,8,20,20,20,20
Kenan,Patch,1,20,10,0,4
Kenan,Patch,2,20,12,0,3
Kenan,Patch,3,20,15,15,8
Kenan,Patch,4,20,8,8,14
Kenan,Patch,5,20,6,0,7
Kenan,Patch,6,20,0,0,1
Kenan,Patch,7,20,20,20,13
Kenan,Patch,8,20,8,8,16
