Day,Site,Rep,Bed.no,muss.alive,muss.gone.day,muss.gone.percap
0,Kenan,1,1,20,NA,NA
0,Kenan,1,2,20,NA,NA
0,Kenan,1,3,20,NA,NA
0,Kenan,2,1,20,NA,NA
0,Kenan,2,2,20,NA,NA
0,Kenan,2,3,20,NA,NA
0,Kenan,3,1,20,NA,NA
0,Kenan,3,2,20,NA,NA
0,Kenan,3,3,20,NA,NA
0,Kenan,4,1,20,NA,NA
0,Kenan,4,2,20,NA,NA
0,Kenan,4,3,20,NA,NA
0,Kenan,5,1,20,NA,NA
0,Kenan,5,2,20,NA,NA
0,Kenan,5,3,20,NA,NA
0,Kenan,6,1,20,NA,NA
0,Kenan,6,2,20,NA,NA
0,Kenan,6,3,20,NA,NA
0,Kenan,7,1,20,NA,NA
0,Kenan,7,2,20,NA,NA
0,Kenan,7,3,20,NA,NA
0,Kenan,8,1,20,NA,NA
0,Kenan,8,2,20,NA,NA
0,Kenan,8,3,20,NA,NA
1,Kenan,1,1,20,0,0
1,Kenan,1,2,18,2,0.1
1,Kenan,1,3,20,0,0
1,Kenan,2,1,20,0,0
1,Kenan,2,2,20,0,0
1,Kenan,2,3,20,0,0
1,Kenan,3,1,20,0,0
1,Kenan,3,2,20,0,0
1,Kenan,3,3,20,0,0
1,Kenan,4,1,17,3,0.15
1,Kenan,4,2,20,0,0
1,Kenan,4,3,20,0,0
1,Kenan,5,1,20,0,0
1,Kenan,5,2,20,0,0
1,Kenan,5,3,20,0,0
1,Kenan,6,1,18,2,0.1
1,Kenan,6,2,20,0,0
1,Kenan,6,3,20,0,0
1,Kenan,7,1,20,0,0
1,Kenan,7,2,17,3,0.15
1,Kenan,7,3,20,0,0
1,Kenan,8,1,20,0,0
1,Kenan,8,2,20,0,0
1,Kenan,8,3,20,0,0
3,Kenan,1,1,20,0,0
3,Kenan,1,2,18,0,0
3,Kenan,1,3,20,0,0
3,Kenan,2,1,20,0,0
3,Kenan,2,2,20,0,0
3,Kenan,2,3,20,0,0
3,Kenan,3,1,20,0,0
3,Kenan,3,2,20,0,0
3,Kenan,3,3,20,0,0
3,Kenan,4,1,17,0,0
3,Kenan,4,2,20,0,0
3,Kenan,4,3,20,0,0
3,Kenan,5,1,20,0,0
3,Kenan,5,2,20,0,0
3,Kenan,5,3,20,0,0
3,Kenan,6,1,18,0,0
3,Kenan,6,2,20,0,0
3,Kenan,6,3,20,0,0
3,Kenan,7,1,20,0,0
3,Kenan,7,2,17,0,0
3,Kenan,7,3,20,0,0
3,Kenan,8,1,18,1,0.05
3,Kenan,8,2,14,3,0.15
3,Kenan,8,3,20,0,0
10,Kenan,1,1,14,0.857142857,0.042857143
10,Kenan,1,2,12,0.857142857,0.047619048
10,Kenan,1,3,10,1.428571429,0.071428571
10,Kenan,2,1,14,0.857142857,0.042857143
10,Kenan,2,2,8,1.714285714,0.085714286
10,Kenan,2,3,10,1.428571429,0.071428571
10,Kenan,3,1,20,0,0
10,Kenan,3,2,20,0,0
10,Kenan,3,3,14,0.857142857,0.042857143
10,Kenan,4,1,14,0.428571429,0.025210084
10,Kenan,4,2,12,1.142857143,0.057142857
10,Kenan,4,3,6,2,0.1
10,Kenan,5,1,6,2,0.1
10,Kenan,5,2,12,1.142857143,0.057142857
10,Kenan,5,3,12,1.142857143,0.057142857
10,Kenan,6,1,10,1.142857143,0.063492063
10,Kenan,6,2,14,0.857142857,0.042857143
10,Kenan,6,3,8,1.714285714,0.085714286
10,Kenan,7,1,20,0,0
10,Kenan,7,2,17,0,0
10,Kenan,7,3,20,0,0
10,Kenan,8,1,14,0.571428571,0.031746032
10,Kenan,8,2,10,0.571428571,0.040816327
10,Kenan,8,3,12,1.142857143,0.057142857
14,Kenan,1,1,10,1,0.071428571
14,Kenan,1,2,0,3,0.25
14,Kenan,1,3,0,2.5,0.25
14,Kenan,2,1,12,0.5,0.035714286
14,Kenan,2,2,0,2,0.25
14,Kenan,2,3,0,2.5,0.25
14,Kenan,3,1,15,1.25,0.0625
14,Kenan,3,2,2,4.5,0.225
14,Kenan,3,3,8,3,0.107142857
14,Kenan,4,1,8,2,0.107142857
14,Kenan,4,2,8,2,0.083333333
14,Kenan,4,3,4,1,0.083333333
14,Kenan,5,1,6,0,0
14,Kenan,5,2,0,3,0.25
14,Kenan,5,3,0,3,0.25
14,Kenan,6,1,0,2.5,0.25
14,Kenan,6,2,0,3.5,0.25
14,Kenan,6,3,0,2,0.25
14,Kenan,7,1,18,0.5,0.025
14,Kenan,7,2,17,0,0
14,Kenan,7,3,20,0,0
14,Kenan,8,1,8,1.5,0.107142857
14,Kenan,8,2,8,0.5,0.05
14,Kenan,8,3,2,2.5,0.208333333
0,Miller Pump,1,1,20,NA,NA
0,Miller Pump,1,2,20,NA,NA
0,Miller Pump,1,3,20,NA,NA
0,Miller Pump,2,1,20,NA,NA
0,Miller Pump,2,2,20,NA,NA
0,Miller Pump,2,3,20,NA,NA
0,Miller Pump,3,1,20,NA,NA
0,Miller Pump,3,2,20,NA,NA
0,Miller Pump,3,3,20,NA,NA
0,Miller Pump,4,1,20,NA,NA
0,Miller Pump,4,2,20,NA,NA
0,Miller Pump,4,3,20,NA,NA
0,Miller Pump,5,1,20,NA,NA
0,Miller Pump,5,2,20,NA,NA
0,Miller Pump,5,3,20,NA,NA
0,Miller Pump,6,1,20,NA,NA
0,Miller Pump,6,2,20,NA,NA
0,Miller Pump,6,3,20,NA,NA
0,Miller Pump,7,1,20,NA,NA
0,Miller Pump,7,2,20,NA,NA
0,Miller Pump,7,3,20,NA,NA
0,Miller Pump,8,1,20,NA,NA
0,Miller Pump,8,2,20,NA,NA
0,Miller Pump,8,3,20,NA,NA
1,Miller Pump,1,1,18,2,0.1
1,Miller Pump,1,2,20,0,0
1,Miller Pump,1,3,20,0,0
1,Miller Pump,2,1,18,2,0.1
1,Miller Pump,2,2,20,0,0
1,Miller Pump,2,3,20,0,0
1,Miller Pump,3,1,20,0,0
1,Miller Pump,3,2,20,0,0
1,Miller Pump,3,3,20,0,0
1,Miller Pump,4,1,17,3,0.15
1,Miller Pump,4,2,20,0,0
1,Miller Pump,4,3,20,0,0
1,Miller Pump,5,1,20,0,0
1,Miller Pump,5,2,18,2,0.1
1,Miller Pump,5,3,19,1,0.05
1,Miller Pump,6,1,20,0,0
1,Miller Pump,6,2,20,0,0
1,Miller Pump,6,3,20,0,0
1,Miller Pump,7,1,20,0,0
1,Miller Pump,7,2,17,3,0.15
1,Miller Pump,7,3,20,0,0
1,Miller Pump,8,1,17,3,0.15
1,Miller Pump,8,2,20,0,0
1,Miller Pump,8,3,20,0,0
3,Miller Pump,1,1,18,0,0
3,Miller Pump,1,2,15,2.5,0.125
3,Miller Pump,1,3,15,2.5,0.125
3,Miller Pump,2,1,18,0,0
3,Miller Pump,2,2,14,3,0.15
3,Miller Pump,2,3,16,2,0.1
3,Miller Pump,3,1,20,0,0
3,Miller Pump,3,2,20,0,0
3,Miller Pump,3,3,17,1.5,0.075
3,Miller Pump,4,1,17,0,0
3,Miller Pump,4,2,20,0,0
3,Miller Pump,4,3,20,0,0
3,Miller Pump,5,1,20,0,0
3,Miller Pump,5,2,14,2,0.111111111
3,Miller Pump,5,3,13,3,0.157894737
3,Miller Pump,6,1,14,3,0.15
3,Miller Pump,6,2,15,2.5,0.125
3,Miller Pump,6,3,20,0,0
3,Miller Pump,7,1,20,0,0
3,Miller Pump,7,2,17,0,0
3,Miller Pump,7,3,20,0,0
3,Miller Pump,8,1,17,0,0
3,Miller Pump,8,2,20,0,0
3,Miller Pump,8,3,20,0,0
10,Miller Pump,1,1,10,1.142857143,0.063492063
10,Miller Pump,1,2,4,1.571428571,0.104761905
10,Miller Pump,1,3,6,1.285714286,0.085714286
10,Miller Pump,2,1,18,0,0
10,Miller Pump,2,2,12,0.285714286,0.020408163
10,Miller Pump,2,3,10,0.857142857,0.053571429
10,Miller Pump,3,1,18,0.285714286,0.014285714
10,Miller Pump,3,2,18,0.285714286,0.014285714
10,Miller Pump,3,3,12,0.714285714,0.042016807
10,Miller Pump,4,1,12,0.714285714,0.042016807
10,Miller Pump,4,2,20,0,0
10,Miller Pump,4,3,20,0,0
10,Miller Pump,5,1,18,0.285714286,0.014285714
10,Miller Pump,5,2,10,0.571428571,0.040816327
10,Miller Pump,5,3,10,0.428571429,0.032967033
10,Miller Pump,6,1,12,0.285714286,0.020408163
10,Miller Pump,6,2,12,0.428571429,0.028571429
10,Miller Pump,6,3,12,1.142857143,0.057142857
10,Miller Pump,7,1,20,0,0
10,Miller Pump,7,2,15,0.285714286,0.016806723
10,Miller Pump,7,3,16,0.571428571,0.028571429
10,Miller Pump,8,1,14,0.428571429,0.025210084
10,Miller Pump,8,2,14,0.857142857,0.042857143
10,Miller Pump,8,3,20,0,0
