Site,Date,Plot,Treatment,mths.since,live.stem,dead.stem,fid,snail,mudcrab,mussel,per.initial,per.final,per.change
Kenan,12/17/15,1,Control,6,7,1,9,0,0,0,50,93,43
Kenan,12/17/15,2,Control,6,3,1,0,0,0,0,50,75,25
Kenan,12/17/15,3,Control,6,6,3,0,0,0,0,50,90,40
Kenan,12/17/15,4,Control,6,3,0,4,2,0,0,50,100,50
Kenan,12/17/15,5,Control,6,0,0,2,0,0,0,50,95,45
Kenan,12/17/15,6,Control,6,2,0,0,0,0,0,50,90,40
Kenan,12/17/15,7,Control,6,4,0,0,0,0,0,50,75,25
Kenan,12/17/15,8,Control,6,3,0,1,0,0,0,50,70,20
Kenan,6/11/15,1,Control,13,28,18,7,3,0,0,50,90,40
Kenan,6/11/15,2,Control,13,26,6,8,0,0,0,50,80,30
Kenan,6/11/15,3,Control,13,31,9,8,1,1,0,50,60,10
Kenan,6/11/15,4,Control,13,19,11,9,2,0,0,50,55,5
Kenan,6/11/15,5,Control,13,33,10,8,1,2,0,50,75,25
Kenan,6/11/15,6,Control,13,39,5,6,0,0,0,50,55,5
Kenan,6/11/15,7,Control,13,27,4,8,3,0,0,50,65,15
Kenan,6/11/15,8,Control,13,23,12,13,0,0,0,50,80,30
Kenan,5/27/14,1,Control,2,35,12,9,0,,0,50,60,10
Kenan,5/27/14,2,Control,2,31,9,9,0,,0,50,60,10
Kenan,5/27/14,3,Control,2,42,8,16,1,,1,50,50,0
Kenan,5/27/14,4,Control,2,28,9,12,2,,0,50,50,0
Kenan,5/27/14,5,Control,2,20,6,16,2,,0,50,60,10
Kenan,5/27/14,6,Control,2,26,1,21,3,,1,50,40,-10
Kenan,5/27/14,7,Control,2,18,3,7,0,,0,50,25,-25
Kenan,5/27/14,8,Control,2,19,4,9,0,,0,50,40,-10
Kenan,3/1/14,1,Control,5,,,,,,,50,55,5
Kenan,3/1/14,2,Control,5,,,,,,,50,50,0
Kenan,3/1/14,3,Control,5,,,,,,,50,50,0
Kenan,3/1/14,4,Control,5,,,,,,,50,50,0
Kenan,3/1/14,5,Control,5,,,,,,,50,50,0
Kenan,3/1/14,6,Control,5,,,,,,,50,50,0
Kenan,3/1/14,7,Control,5,,,,,,,50,45,-5
