Site,Date,shells,no shells,total
Kenan,,3,1,4
Kenan,,2,1,3
Kenan,,3,0,3
Kenan,,4,0,4
Kenan,,1,0,1
Kenan,,2,0,2
Kenan,,1,0,1
Kenan,,0,2,2
Kenan,,2,1,3
Kenan,,3,1,4
Kenan,,1,1,2
Kenan,,2,1,3
Kenan,,2,0,2
Kenan,,4,0,4
Kenan,,2,0,2
Kenan,,5,0,5
Kenan,,2,0,2
Kenan,,3,0,3
Kenan,,1,0,1
Miller Pump,,3,0,3
Miller Pump,,1,0,1
Miller Pump,,2,0,2
Miller Pump,,3,0,3
Miller Pump,,0,1,1
Miller Pump,,1,1,2
Miller Pump,,2,1,3
Miller Pump,,1,1,2
Miller Pump,,1,1,2
Miller Pump,,2,1,3
Miller Pump,,2,0,2
Miller Pump,,2,0,2
Miller Pump,,0,1,1
Miller Pump,,2,1,3
Miller Pump,,2,1,3
Chocolate Factory,,4,2,6
Chocolate Factory,,7,3,10
Chocolate Factory,,6,1,7
Chocolate Factory,,2,1,3
Chocolate Factory,,4,1,5
Chocolate Factory,,5,0,5
Chocolate Factory,,2,0,2
Chocolate Factory,,5,0,5
Chocolate Factory,,1,0,1
Chocolate Factory,,2,0,2
Chocolate Factory,,5,0,5
Cabretta,,2,1,3
Cabretta,,1,1,2
Cabretta,,2,0,2
Cabretta,,5,1,6
Cabretta,,2,0,2
Cabretta,,7,1,8
Cabretta,,2,0,2
Cabretta,,1,1,2
Cabretta,,6,1,7
Cabretta,,3,1,4
Cabretta,,0,0,0
Cabretta,,4,0,4
Cabretta,,1,0,1
Cabretta,,6,0,6
Raccoon Bluff,,1,0,1
Raccoon Bluff,,1,0,1
Raccoon Bluff,,1,1,2
Raccoon Bluff,,0,0,0
Raccoon Bluff,,1,1,2
