site,pred.disturb,pred.level,flight,hoglevel,pathlength,patcharea,mudarea,,,pl,pa,ma,tot patch
Faver-Dykes,1201,medium,FB2,low,NA,3.086,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,3.784,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,3.938,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,104.631,4.001,164.298,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,4.034,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,4.276,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,4.307,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,4.486,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,4.511,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,5.121,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,5.158,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,5.531,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,5.816,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,15.161,6.296,116.628,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,6.55,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,38.017,6.631,269.054,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,6.683,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,6.721,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,6.747,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,6.78,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,6.812,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,6.832,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,7.542,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,60.262,7.604,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,81.695,7.924,78.205,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,8.558,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,8.725,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,12.8,9.07,467.318,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,9.148,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,9.788,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,9.918,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,9.925,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,9.969,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,10.052,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,64.82,10.315,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,10.471,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,10.599,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,11.921,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,11.992,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,12.151,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,12.259,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,12.26,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,12.892,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,13.522,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,13.694,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,13.917,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,14.232,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,14.654,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,15.041,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,16.145,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,17.373,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,17.446,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,17.914,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,18.163,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,127.625,18.402,73.074,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,19.107,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,20.59,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,20.666,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,20.907,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,21.111,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,21.631,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,23.606,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,24.3,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,14.946,26.31,1010.228,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,27.483,78.516,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,27.635,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,31.474,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,32.943,NA,,,,,,
Faver-Dykes,1201,medium,FB2,low,NA,34.674,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,48.166,39.285,598.486,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,42.771,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,44.957,43.836,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,45.15,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,47.228,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,52.687,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,137.681,59.478,233.239,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,61.433,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,64.731,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,72.251,NA,,,,,,
Faver-Dykes,1201,medium,FB1,low,NA,128.173,73.613,,,,,,
Faver-Dykes,1201,medium,FB1,low,131.016,140.491,116.159,,,,,,
Gracie,95,low,Gracie1,low,NA,3.177,NA,,,,,,
Gracie,95,low,Gracie2,low,NA,3.177,NA,,,,,,
Gracie,95,low,Gracie1,low,NA,3.858,NA,,,,,,
Gracie,95,low,Gracie2,low,NA,3.858,NA,,,,,,
Gracie,95,low,Gracie1,low,NA,5.667,NA,,,,,,
Gracie,95,low,Gracie1,low,NA,5.667,NA,,,,,,
Gracie,95,low,Gracie1,low,NA,8.057,NA,,,,,,
Gracie,95,low,Gracie2,low,NA,8.057,89.074,,,,,,
Gracie,95,low,Gracie1,low,NA,10.899,NA,,,,,,
Gracie,95,low,Gracie1,low,NA,13.997,561.308,,,,,,
Gracie,95,low,Gracie1,low,NA,19.379,2102.649,,,,,,
Gracie,95,low,Gracie1,low,NA,22.463,NA,,,,,,
Gracie,95,low,Gracie1,low,NA,24.894,NA,,,,,,
Gracie,95,low,Gracie2,low,NA,24.894,103.392,,,,,,
Gracie,95,low,Gracie1,low,NA,25.922,1140.881,,,,,,
Gracie,95,low,Gracie2,low,NA,25.922,141.779,,,,,,
Gracie,95,low,Gracie1,low,NA,37.121,NA,,,,,,
Gracie,95,low,Gracie2,low,NA,37.121,109.264,,,,,,
Gracie,95,low,Gracie1,low,NA,48.894,NA,,,,,,
Gracie,95,low,Gracie2,low,NA,48.894,17.072,,,,,,
Gracie,95,low,Gracie1,low,NA,68.133,NA,,,,,,
Gracie,95,low,Gracie2,low,NA,68.133,142.363,,,,,,
Gracie,95,low,Gracie1,low,NA,97.201,NA,,,,,,
Gracie,95,low,Gracie2,low,NA,97.201,48.42,,,,,,
Gracie,95,low,Gracie1,low,NA,303.717,NA,,,,,,
Gracie,95,low,Gracie2,low,NA,303.717,2.688,,,,,,
GTM,1201,medium,GTM1,low,NA,7.466,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,13.531,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,13.919,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,16.763,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,20.91,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,24.34,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,31.355,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,48.126,NA,,,,,,
GTM,1201,medium,GTM1,low,108.154,50.122,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,54.225,NA,,,,,,
GTM,1201,medium,GTM1,low,46.526,54.859,235.38,,,,,,
GTM,1201,medium,GTM1,low,130.203,55.861,1758.421,,,,,,
GTM,1201,medium,GTM1,low,NA,57.458,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,67.38,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,67.637,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,70.897,NA,,,,,,
GTM,1201,medium,GTM1,low,33.309,83.315,4483.836,,,,,,
GTM,1201,medium,GTM1,low,44.658,107.037,116.804,,,,,,
GTM,1201,medium,GTM1,low,42.699,133.409,746.909,,,,,,
GTM,1201,medium,GTM1,low,27.518,139.691,NA,,,,,,
GTM,1201,medium,GTM1,low,NA,169.125,NA,,,,,,
GTM,1201,medium,GTM1,low,192.888,227.648,NA,,,,,,
GTM,1201,medium,GTM1,low,93.089,253.548,5648.732,,,,,,
GTM,1201,medium,GTM1,low,NA,422.467,NA,,,,,,
Guana,2105,high,Guana1,low,53.757,2.17,NA,,,,,,
Guana,2105,high,Guana1,low,77.538,2.293,NA,,,,,,
Guana,2105,high,Guana2,low,60.439,2.549,751.288,,,,,,
Guana,2105,high,Guana1,low,31.871,2.787,NA,,,,,,
Guana,2105,high,Guana1,low,77.479,2.826,NA,,,,,,
Guana,2105,high,Guana1,low,40.702,3.075,141.798,,,,,,
Guana,2105,high,Guana2,low,33.226,3.189,NA,,,,,,
Guana,2105,high,Guana2,low,NA,3.584,NA,,,,,,
Guana,2105,high,Guana1,low,82.417,3.832,NA,,,,,,
Guana,2105,high,Guana2,low,48.772,4.131,NA,,,,,,
Guana,2105,high,Guana2,low,63.307,4.322,373.076,,,,,,
Guana,2105,high,Guana1,low,56.752,4.388,91.429,,,,,,
Guana,2105,high,Guana2,low,NA,4.394,NA,,,,,,
Guana,2105,high,Guana2,low,NA,4.819,NA,,,,,,
Guana,2105,high,Guana2,low,95.858,5.509,18.749,,,,,,
Guana,2105,high,Guana1,low,145.644,6.094,69.152,,,,,,
Guana,2105,high,Guana2,low,NA,6.112,NA,,,,,,
Guana,2105,high,Guana2,low,NA,6.184,NA,,,,,,
Guana,2105,high,Guana2,low,NA,6.556,NA,,,,,,
Guana,2105,high,Guana2,low,65.777,6.853,NA,,,,,,
Guana,2105,high,Guana2,low,NA,7.86,NA,,,,,,
Guana,2105,high,Guana1,low,140.087,8.003,33.651,,,,,,
Guana,2105,high,Guana2,low,NA,8.045,NA,,,,,,
Guana,2105,high,Guana2,low,156.674,8.954,2224.754,,,,,,
Guana,2105,high,Guana2,low,NA,9.404,NA,,,,,,
Guana,2105,high,Guana1,low,81.665,9.46,162.262,,,,,,
Guana,2105,high,Guana2,low,NA,11.246,NA,,,,,,
Guana,2105,high,Guana2,low,NA,11.522,NA,,,,,,
Guana,2105,high,Guana2,low,NA,12.651,NA,,,,,,
Guana,2105,high,Guana1,low,106.538,12.878,15.087,,,,,,
Guana,2105,high,Guana2,low,NA,15.03,NA,,,,,,
Guana,2105,high,Guana2,low,NA,15.729,NA,,,,,,
Guana,2105,high,Guana2,low,107.819,18.953,NA,,,,,,
Guana,2105,high,Guana2,low,26.845,29.53,NA,,,,,,
Guana,2105,high,Guana1,low,101.345,29.821,15.661,,,,,,
Guana,2105,high,Guana1,low,131.305,34.687,69.408,,,,,,
Guana,2105,high,Guana1,low,28.869,42.72,1708.564,,,,,,
Kenan,1201,medium,Kenan1,high,NA,2.159,NA,,,,,,
Kenan,1201,medium,Kenan1,high,NA,2.517,NA,,,,,,
Kenan,1201,medium,Kenan1,high,NA,2.672,NA,,,,,,
Kenan,1201,medium,Kenan1,high,24.653,2.775,78.706,,,,,,
Kenan,1201,medium,Kenan1,high,39.489,2.794,426.594,,,,,,
Kenan,1201,medium,Kenan1,high,66.089,2.865,783.389,,,,,,
Kenan,1201,medium,Kenan1,high,NA,2.93,NA,,,,,,
Kenan,1201,medium,Kenan1,high,NA,2.997,NA,,,,,,
Kenan,1201,medium,Kenan1,high,NA,3.066,NA,,,,,,
Kenan,1201,medium,Kenan1,high,NA,3.38,NA,,,,,,
Kenan,1201,medium,Kenan1,high,NA,3.385,NA,,,,,,
Kenan,1201,medium,Kenan1,high,68.82,3.52,9.977,,,,,,
Kenan,1201,medium,Kenan1,high,115.255,3.636,24.756,,,,,,
Kenan,1201,medium,Kenan1,high,43.597,3.745,NA,,,,,,
Kenan,1201,medium,Kenan1,high,NA,3.761,NA,,,,,,
Kenan,1201,medium,Kenan1,high,NA,3.812,NA,,,,,,
Kenan,1201,medium,Kenan1,high,NA,3.902,NA,,,,,,
Kenan,1201,medium,Kenan1,high,NA,4.006,NA,,,,,,
